Date,Is_Trading_Day
2021/1/1,No
2021/1/2,No
2021/1/3,No
2021/1/4,Yes
2021/1/5,Yes
2021/1/6,Yes
2021/1/7,Yes
2021/1/8,Yes
2021/1/9,No
2021/1/10,No
2021/1/11,Yes
2021/1/12,Yes
2021/1/13,Yes
2021/1/14,Yes
2021/1/15,Yes
2021/1/16,No
2021/1/17,No
2021/1/18,No
2021/1/19,Yes
2021/1/20,Yes
2021/1/21,Yes
2021/1/22,Yes
2021/1/23,No
2021/1/24,No
2021/1/25,Yes
2021/1/26,Yes
2021/1/27,Yes
2021/1/28,Yes
2021/1/29,Yes
2021/1/30,No
2021/1/31,No
2021/2/1,Yes
2021/2/2,Yes
2021/2/3,Yes
2021/2/4,Yes
2021/2/5,Yes
2021/2/6,No
2021/2/7,No
2021/2/8,Yes
2021/2/9,Yes
2021/2/10,Yes
2021/2/11,Yes
2021/2/12,Yes
2021/2/13,No
2021/2/14,No
2021/2/15,No
2021/2/16,Yes
2021/2/17,Yes
2021/2/18,Yes
2021/2/19,Yes
2021/2/20,No
2021/2/21,No
2021/2/22,Yes
2021/2/23,Yes
2021/2/24,Yes
2021/2/25,Yes
2021/2/26,Yes
2021/2/27,No
2021/2/28,No
2021/3/1,Yes
2021/3/2,Yes
2021/3/3,Yes
2021/3/4,Yes
2021/3/5,Yes
2021/3/6,No
2021/3/7,No
2021/3/8,Yes
2021/3/9,Yes
2021/3/10,Yes
2021/3/11,Yes
2021/3/12,Yes
2021/3/13,No
2021/3/14,No
2021/3/15,Yes
2021/3/16,Yes
2021/3/17,Yes
2021/3/18,Yes
2021/3/19,Yes
2021/3/20,No
2021/3/21,No
2021/3/22,Yes
2021/3/23,Yes
2021/3/24,Yes
2021/3/25,Yes
2021/3/26,Yes
2021/3/27,No
2021/3/28,No
2021/3/29,Yes
2021/3/30,Yes
2021/3/31,Yes
2021/4/1,Yes
2021/4/2,No
2021/4/3,No
2021/4/4,No
2021/4/5,Yes
2021/4/6,Yes
2021/4/7,Yes
2021/4/8,Yes
2021/4/9,Yes
2021/4/10,No
2021/4/11,No
2021/4/12,Yes
2021/4/13,Yes
2021/4/14,Yes
2021/4/15,Yes
2021/4/16,Yes
2021/4/17,No
2021/4/18,No
2021/4/19,Yes
2021/4/20,Yes
2021/4/21,Yes
2021/4/22,Yes
2021/4/23,Yes
2021/4/24,No
2021/4/25,No
2021/4/26,Yes
2021/4/27,Yes
2021/4/28,Yes
2021/4/29,Yes
2021/4/30,Yes
2021/5/1,No
2021/5/2,No
2021/5/3,Yes
2021/5/4,Yes
2021/5/5,Yes
2021/5/6,Yes
2021/5/7,Yes
2021/5/8,No
2021/5/9,No
2021/5/10,Yes
2021/5/11,Yes
2021/5/12,Yes
2021/5/13,Yes
2021/5/14,Yes
2021/5/15,No
2021/5/16,No
2021/5/17,Yes
2021/5/18,Yes
2021/5/19,Yes
2021/5/20,Yes
2021/5/21,Yes
2021/5/22,No
2021/5/23,No
2021/5/24,Yes
2021/5/25,Yes
2021/5/26,Yes
2021/5/27,Yes
2021/5/28,Yes
2021/5/29,No
2021/5/30,No
2021/5/31,No
2021/6/1,Yes
2021/6/2,Yes
2021/6/3,Yes
2021/6/4,Yes
2021/6/5,No
2021/6/6,No
2021/6/7,Yes
2021/6/8,Yes
2021/6/9,Yes
2021/6/10,Yes
2021/6/11,Yes
2021/6/12,No
2021/6/13,No
2021/6/14,Yes
2021/6/15,Yes
2021/6/16,Yes
2021/6/17,Yes
2021/6/18,Yes
2021/6/19,No
2021/6/20,No
2021/6/21,Yes
2021/6/22,Yes
2021/6/23,Yes
2021/6/24,Yes
2021/6/25,Yes
2021/6/26,No
2021/6/27,No
2021/6/28,Yes
2021/6/29,Yes
2021/6/30,Yes
2021/7/1,Yes
2021/7/2,Yes
2021/7/3,No
2021/7/4,No
2021/7/5,No
2021/7/6,Yes
2021/7/7,Yes
2021/7/8,Yes
2021/7/9,Yes
2021/7/10,No
2021/7/11,No
2021/7/12,Yes
2021/7/13,Yes
2021/7/14,Yes
2021/7/15,Yes
2021/7/16,Yes
2021/7/17,No
2021/7/18,No
2021/7/19,Yes
2021/7/20,Yes
2021/7/21,Yes
2021/7/22,Yes
2021/7/23,Yes
2021/7/24,No
2021/7/25,No
2021/7/26,Yes
2021/7/27,Yes
2021/7/28,Yes
2021/7/29,Yes
2021/7/30,Yes
2021/7/31,No
2021/8/1,No
2021/8/2,Yes
2021/8/3,Yes
2021/8/4,Yes
2021/8/5,Yes
2021/8/6,Yes
2021/8/7,No
2021/8/8,No
2021/8/9,Yes
2021/8/10,Yes
2021/8/11,Yes
2021/8/12,Yes
2021/8/13,Yes
2021/8/14,No
2021/8/15,No
2021/8/16,Yes
2021/8/17,Yes
2021/8/18,Yes
2021/8/19,Yes
2021/8/20,Yes
2021/8/21,No
2021/8/22,No
2021/8/23,Yes
2021/8/24,Yes
2021/8/25,Yes
2021/8/26,Yes
2021/8/27,Yes
2021/8/28,No
2021/8/29,No
2021/8/30,Yes
2021/8/31,Yes
2021/9/1,Yes
2021/9/2,Yes
2021/9/3,Yes
2021/9/4,No
2021/9/5,No
2021/9/6,No
2021/9/7,Yes
2021/9/8,Yes
2021/9/9,Yes
2021/9/10,Yes
2021/9/11,No
2021/9/12,No
2021/9/13,Yes
2021/9/14,Yes
2021/9/15,Yes
2021/9/16,Yes
2021/9/17,Yes
2021/9/18,No
2021/9/19,No
2021/9/20,Yes
2021/9/21,Yes
2021/9/22,Yes
2021/9/23,Yes
2021/9/24,Yes
2021/9/25,No
2021/9/26,No
2021/9/27,Yes
2021/9/28,Yes
2021/9/29,Yes
2021/9/30,Yes
