Date,Open,High,Low,Close,Volume
2020-12-01,105.789,106.145,104.679,105.065,4403919.5598282
2020-12-02,104.916,105.204,103.985,104.758,3556839.5757379
2020-12-03,104.758,105.214,103.708,104.154,3971357.9652762
2020-12-04,103.708,104.877,103.559,104.51,4839363.3845675
2020-12-07,104.332,104.907,103.272,103.806,7152336.9629448
2020-12-08,103.43,103.866,102.866,103.43,6859375.8242094
2020-12-09,103.728,104.302,102.202,102.974,5928565.8421564
2020-12-10,103.39,103.718,102.696,103.162,4985531.6114132
2020-12-11,102.756,103.975,102.013,103.648,4872347.5622434
2020-12-14,104.124,105.719,103.4,103.42,6453147.8831966
2020-12-15,103.568,104.996,103.054,104.074,5427674.4011327
2020-12-16,104.074,104.817,103.242,103.965,4603616.9370926
2020-12-17,104.441,105.511,104.223,105.353,4051831.3256989
2020-12-18,105.422,106.155,104.114,105.541,11016513.506906
2020-12-21,104.183,104.788,102.062,104.698,4691947.8060021
2020-12-22,104.441,105.61,103.588,104.887,3538004.1610964
2020-12-23,105.441,106.225,104.054,104.074,3252044.7426129
2020-12-24,104.064,105.521,104.005,104.946,1498661.8065358
2020-12-28,105.531,105.659,103.886,104.401,2100498.9194597
2020-12-29,105.075,105.511,104.748,104.936,2926803.8368006
2020-12-30,105.263,105.679,104.441,105.015,2494619.6771541
2020-12-31,104.778,106.185,104.46,106.036,3079158.3630329
2021-01-04,106.075,106.789,103.876,105.669,6393448.580339
2021-01-05,105.422,107.423,104.907,106.987,4463613.8167646
2021-01-06,105.521,107.543,105.164,106.769,5719633.4199185
2021-01-07,106.809,108.107,105.799,107.79,5749872.6164636
2021-01-08,108.147,109.009,106.859,108.097,4380017.0311214
2021-01-11,107.711,108.444,106.759,107.364,3281003.2843584
2021-01-12,107.047,107.245,104.936,105.412,5965133.6330659
2021-01-13,105.659,109.356,104.857,108.613,6243619.0330734
2021-01-14,108.147,108.573,106.729,107.007,4515862.3123837
2021-01-15,106.967,108.533,106.373,108.226,4607204.5870632
2021-01-19,108.652,110.02,107.483,109.465,7013713.3974719
2021-01-20,109.544,110.406,108.91,109.782,3036034.9113051
2021-01-21,109.158,110.416,107.225,109.841,5170634.1662094
2021-01-22,109.89,110.386,108.652,109.732,4281967.7179877
2021-01-25,109.95,112.22,109.9,111.556,4822215.325974
2021-01-26,111.09,111.942,110.654,111.566,4259825.2065942
2021-01-27,112.021,114.529,110.376,111.13,9363067.0584902
2021-01-28,114.657,120.652,113.914,117.075,11616574.455569
2021-01-29,116.936,121.276,116.401,120.186,11307107.099416
2021-02-01,119.84,121.375,119.116,119.156,8573522.6862485
2021-02-02,119.998,120.315,116.916,116.926,7483291.8699198
2021-02-03,116.431,117.56,115.628,116.906,5133574.9025754
2021-02-04,116.52,117.53,115.529,116.431,4502116.2138607
2021-02-05,117.104,120.9,116.728,120.612,5968152.1031255
2021-02-08,121.553,122.327,120.364,121.058,3554077.4384751
2021-02-09,121.385,121.821,120.206,121.702,3521622.0733405
2021-02-10,122.317,122.723,121.316,121.831,4314669.3240767
2021-02-11,122.227,123.377,121.742,123.347,3802260.0633304
2021-02-12,122.931,124.992,122.773,124.695,3762573.8931215
2021-02-16,124.942,124.952,123.357,124.497,5320739.2207724
2021-02-17,123.853,124.477,122.911,123.723,3251699.6016031
2021-02-18,122.009,123.169,120.652,121.95,5589117.6406237
2021-02-19,121.791,121.93,119.284,119.651,6380121.2932755
2021-02-22,119.562,119.562,117.204,119.166,4979485.5886358
2021-02-23,118.878,119.78,116.896,117.471,5723885.1131186
2021-02-24,117.471,119.522,117.332,118.998,4244556.2490542
2021-02-25,118.304,119.374,117.442,118.234,3567230.1366653
2021-02-26,118.818,118.978,116.351,116.47,5345056.5242016
2021-03-01,117.66,119.562,117.283,118.838,3968619.0392508
2021-03-02,118.838,119.7,117.858,119.146,5047382.4950688
2021-03-03,118.334,118.522,115.777,115.895,5388150.7095864
2021-03-04,115.717,116.5,111.576,112.824,6889591.809517
2021-03-05,113.765,114.34,111.634,114.013,4997312.8282222
2021-03-08,113.765,115.023,112.378,112.447,4043042.3401592
2021-03-09,113.507,116.044,113.28,113.468,5322873.6454384
2021-03-10,114.003,115.905,112.14,112.695,7857089.6754041
2021-03-11,113.458,114.607,112.655,114.281,5055090.6442883
2021-03-12,113.855,114.033,112.933,113.478,3819342.5249482
2021-03-15,113.953,114.965,113.319,114.845,4784034.8586502
2021-03-16,115.192,116.133,114.291,114.965,3980250.8967925
2021-03-17,114.429,114.965,113.686,114.379,3904915.2933319
2021-03-18,114.261,115.866,114.073,114.855,4373608.711202
2021-03-19,115.123,117.66,114.33,116.936,11594864.884215
2021-03-22,116.946,118.848,116.698,118.125,5319832.9733256
2021-03-23,118.412,118.78,116.559,117.164,3896006.2148677
2021-03-24,116.688,117.124,114.697,114.765,6706312.8506411
2021-03-25,115.469,116.193,114.003,115.767,5470906.8447582
2021-03-26,115.985,118.918,115.657,118.7,4994819.133967
2021-03-29,117.67,119.354,116.738,118.858,4946489.3007489
2021-03-30,118.154,119.106,116.084,116.441,5197725.7171123
2021-03-31,116.688,118.106,116.441,116.53,5957080.3428366
2021-04-01,116.966,117.54,115.519,115.657,4129114.6547413
2021-04-05,116.341,117.035,115.797,116.55,6493657.5477447
2021-04-06,116.698,118.64,116.292,116.659,5292316.5558579
2021-04-07,116.51,117.55,116.292,116.797,4435310.2355903
2021-04-08,117.679,118.224,116.233,116.47,3875702.4371581
2021-04-09,116.341,117.6,116.054,117.57,4218823.0601374
2021-04-12,117.233,118.036,117.154,117.709,2998654.7270831
2021-04-13,117.719,120.236,117.58,119.622,5084767.7252121
2021-04-14,119.612,119.879,118.382,118.58,4842973.2365914
2021-04-15,119.462,121.693,118.968,120.969,4621825.6483215
2021-04-16,121.405,121.613,119.998,121.365,6396598.2443497
2021-04-19,120.632,122.405,120.622,121.544,7021614.300881
2021-04-20,117.61,119.066,116.143,117.114,10151876.744605
2021-04-21,117.54,119.899,116.976,119.661,7213590.4095308
2021-04-22,119.859,121.821,119.572,120.543,6523502.1532523
2021-04-23,120.652,121.127,119.7,120.355,5355558.0953953
2021-04-26,120.434,120.444,119.016,119.641,4485105.4043238
2021-04-27,119.066,119.612,118.096,118.78,3468218.0617674
2021-04-28,118.6,118.988,117.65,118.532,3848239.5064552
2021-04-29,118.58,118.59,117.124,118.106,3984818.4646594
2021-04-30,117.61,118.244,116.47,117.194,4890868.1114023
2021-05-03,117.66,117.768,116.312,116.659,5038509.7472372
2021-05-04,116.331,116.421,113.627,114.717,9448604.5054254
2021-05-05,114.975,116.015,114.765,115.667,4161196.6217073
2021-05-06,115.221,116.025,113.894,115.935,4411531.8365449
2021-05-07,116.896,117.53,115.905,116.094,4176926.7764446
2021-05-10,116.331,117.065,115.895,116.084,4019690.826047
2021-05-11,116.005,116.391,115.133,115.559,5656528.1202534
