Date,Open,High,Low,Close,Volume
2020-12-01,134.549,136.393,133.404,135.248,3289165.4994609
2020-12-02,135.229,136.136,134.617,135.18,2281833.2726631
2020-12-03,135.702,136.52,134.509,134.893,1796359.5708235
2020-12-04,134.893,139.154,134.391,138.986,3469367.8685543
2020-12-07,139.657,139.657,137.557,138.729,1796697.2278226
2020-12-08,138.285,141.244,138.247,141.067,2939314.3169694
2020-12-09,140.356,141.234,136.027,136.876,3127980.4187098
2020-12-10,135.692,137.714,135.278,136.393,2801491.4502098
2020-12-11,135.18,137.123,134.647,136.264,3331473.0088609
2020-12-14,137.123,138.946,136.747,137.388,2293946.3372613
2020-12-15,140.219,140.219,138.512,139.075,2646213.8459654
2020-12-16,139.735,139.735,136.669,137.842,1640184.5898699
2020-12-17,138.572,138.888,137.664,138.799,2438748.4626537
2020-12-18,139.371,139.972,138.464,139.548,4382767.5685499
2020-12-21,136.827,138.425,136.413,137.645,1893002.4794833
2020-12-22,137.774,139.657,137.714,139.283,2241396.5655552
2020-12-23,139.775,140.563,138.118,138.257,2279998.9738301
2020-12-24,139.124,139.47,138.049,139.46,483136.46645544
2020-12-28,141.344,142.359,139.43,139.657,1689378.0712845
2020-12-29,140.14,140.199,137.784,138.681,1171560.2764806
2020-12-30,139.637,141.531,139.49,141.117,1179675.1982936
2020-12-31,141.431,142.694,140.643,142.596,1685210.5930074
2021-01-04,143.306,145.317,139.608,140.959,2586320.7950179
2021-01-05,140.713,143.523,140.101,143.483,1568057.8101113
2021-01-06,142.596,147.004,142.014,144.124,2587892.4717404
2021-01-07,146.56,150.791,145.909,150.219,2756858.8732454
2021-01-08,150.604,154.272,150.426,151.304,4356000.392988
2021-01-11,150.712,153.681,149.638,152.803,2703745.3258892
2021-01-12,151.57,153.818,151.087,153.572,2666275.5388395
2021-01-13,154.459,156.176,152.665,152.98,2717061.9906614
2021-01-14,153.661,155.24,153.661,153.928,2100941.3937816
2021-01-15,152.556,153.543,150.14,152.29,2421993.3748068
2021-01-19,152.961,155.387,152.803,154.983,3099547.2658221
2021-01-20,155.831,157.33,154.045,154.292,2378705.3419289
2021-01-21,155.033,155.347,152.103,153.769,2558188.7956699
2021-01-22,152.27,153.424,150.032,150.189,3260200.0044575
2021-01-25,151.56,151.837,147.201,148.395,3829908.4807289
2021-01-26,148.583,150.14,146.767,149.568,2412769.1534231
2021-01-27,145.861,147.517,141.658,142.359,5847311.7077615
2021-01-28,145.15,146.589,143.296,144.036,4508285.7275497
2021-01-29,143.434,144.351,141.571,142.221,3638933.5351838
2021-02-01,143.198,146.974,142.221,146.609,3064879.1192784
2021-02-02,147.714,148.897,145.751,146.599,2627767.431168
2021-02-03,146.729,147.123,142.339,142.458,2800703.5838785
2021-02-04,142.694,145.427,141.905,145.298,2100413.1076059
2021-02-05,146.462,146.659,143.463,143.612,2247249.2868729
2021-02-08,144.943,147.991,143.612,147.892,2378486.3211727
2021-02-09,147.398,148.198,146.482,147.547,1749969.7578848
2021-02-10,149.331,149.421,146.344,147.921,1825123.2828154
2021-02-11,149.253,153.504,149.253,153.287,3088682.4167371
2021-02-12,153.474,155.801,152.448,155.2,2473686.3292028
2021-02-16,157.211,158.266,154.806,154.933,3286363.8589548
2021-02-17,151.699,156.491,149.628,154.212,3953013.3554708
2021-02-18,152.468,153.257,150.269,152.606,3945254.3423866
2021-02-19,155.051,158.691,154.459,158.119,3049778.8549225
2021-02-22,156.68,157.744,152.97,153.721,3636313.3979896
2021-02-23,151.906,153.158,148.001,152.241,3130841.8843298
2021-02-24,151.087,156.304,149.785,156.156,2847645.0046476
2021-02-25,153.858,155.258,148.602,148.987,3385981.7995527
2021-02-26,151.777,152.931,147.605,151.058,5749742.0168279
2021-03-01,152.29,153.928,150.298,153.751,3492341.7262975
2021-03-02,154.549,154.549,149.321,149.578,3111515.3305678
2021-03-03,148.503,150.269,144.943,145.357,2749926.2579216
2021-03-04,144.627,145.012,137.901,140.101,5023451.9516249
2021-03-05,144.46,145.041,139.016,144.341,4167420.4799711
2021-03-08,143.256,144.983,139.381,139.657,4122262.6587858
2021-03-09,144.193,146.502,143.652,144.854,5367279.0493368
2021-03-10,146.709,146.896,142.586,142.606,3236244.6092514
2021-03-11,145.761,147.468,145.407,146.422,4602706.9951134
2021-03-12,144.066,145.248,143.04,144.963,3773779.3420355
2021-03-15,145.041,146.502,143.444,146.392,2179757.4324683
2021-03-16,147.685,149.795,147.3,148.415,2397778.3994453
2021-03-17,145.831,150.131,145.485,149.451,2942647.2856061
2021-03-18,146.729,148.593,144.716,144.874,3974791.72492
2021-03-19,144.824,148.533,143.227,147.27,4770590.4606573
2021-03-22,148.533,151.55,148.533,149.785,3426268.4368831
2021-03-23,149.874,150.239,145.051,145.899,2584345.5522725
2021-03-24,147.685,149.263,145.614,145.851,2880980.7749246
2021-03-25,143.917,146.305,142.044,145.317,2811151.6851358
2021-03-26,143.897,152.566,143.483,152.32,3802319.9773314
2021-03-29,150.298,151.442,147.37,149.154,2838399.4895793
2021-03-30,147.497,148.74,146.876,147.951,2180690.298652
2021-03-31,149.508,151.343,148.917,150.348,3565974.2737548
2021-04-01,152.576,155.584,152.093,155.475,3451191.1737622
2021-04-05,157.211,158.888,155.692,158.503,2711167.6959594
2021-04-06,157.35,158.109,154.883,156.767,2498357.5978062
2021-04-07,156.737,157.034,153.789,154.589,2127803.8839319
2021-04-08,156.68,157.281,154.627,157.171,2681433.6003394
2021-04-09,155.889,157.024,155.278,156.313,2321386.7988513
2021-04-12,155.732,155.979,154.105,154.854,2090585.5651578
2021-04-13,155.644,156.038,152.556,154.302,1758316.8822588
2021-04-14,152.892,155.722,152.833,153.621,1646685.2475911
2021-04-15,155.11,156.393,153.848,155.801,1873238.898194
2021-04-16,156.077,156.403,154.282,154.637,1920671.0876944
2021-04-19,153.641,154.145,150.939,152.123,3512285.7969137
2021-04-20,150.169,151.492,148.877,149.755,2413379.5723824
2021-04-21,150.742,153.504,149.411,153.454,2798577.2573707
2021-04-22,152.468,153.297,150.179,150.623,2566225.6406394
2021-04-23,151.916,155.081,151.343,154.165,3523063.4432902
2021-04-26,153.789,156.954,153.434,155.732,2790726.985638
2021-04-27,156.413,156.974,154.599,154.676,3334328.390571
2021-04-28,153.661,153.908,150.298,151.294,3408651.4618012
2021-04-29,151.757,153.277,149.301,153.177,6016758.738148
2021-04-30,150.791,151.54,147.912,148.493,4162127.4783636
2021-05-03,149.291,149.47,146.097,146.699,3368327.3070264
2021-05-04,145.417,147.35,144.016,147.27,3970980.1553716
2021-05-05,148.593,150.486,147.645,149.234,4554532.5686059
2021-05-06,149.282,151.699,148.198,150.673,4925612.540686
2021-05-07,151.886,153.514,151.255,152.468,2791855.5509233
2021-05-10,152.044,152.379,146.165,146.195,4262578.9146168
2021-05-11,143.819,147.428,143.335,146.235,4789406.9799732
2021-05-12,142.892,144.47,141.204,141.6,4882088.2493073
2021-05-13,143.099,144.766,141.177,142.162,4180919.66204
2021-05-14,143.473,146.175,142.162,145.032,5004936.5858488
2021-05-17,143.839,144.292,141.384,143.582,5239853.5845853
2021-05-18,145.032,145.21,141.364,141.441,4356048.0502821
2021-05-19,141.344,148.641,139.667,148.453,7288721.7796027
2021-05-20,150.623,156.275,150.14,154.599,6175090.465159
2021-05-21,154.816,155.861,154.125,154.499,3637763.3965143
2021-05-24,156.077,158.011,155.821,157.557,3542872.6539038
2021-05-25,159.292,160.131,157.725,158.71,3432137.3819604
