Date,Open,High,Low,Close,Volume
2020-12-01,167.784,168.977,166.315,167.311,2370308.6672586
2020-12-02,167.32,167.685,163.82,164.342,2469007.5630844
2020-12-03,164.027,166.038,163.691,164.845,1485715.5800488
2020-12-04,165.102,168.239,164.471,167.419,1067593.3607098
2020-12-07,166.669,167.37,165.575,167.212,1164450.8667924
2020-12-08,167.084,167.577,166.048,167.183,1066883.5739145
2020-12-09,167.745,167.794,165.496,166.512,1602931.7993821
2020-12-10,166.325,166.452,164.885,165.644,1881414.6205442
2020-12-11,165.092,167.252,164.757,167.113,1247008.1969126
2020-12-14,166.916,169.303,165.931,166.749,3186578.6915368
2020-12-15,167.824,169.284,166.472,169.244,1274245.7581905
2020-12-16,169.401,170.023,167.843,169.096,1162923.8112014
2020-12-17,170.073,172.41,169.411,170.773,1209931.9766711
2020-12-18,171.877,172.815,170.901,172.617,3425617.6465045
2020-12-21,169.491,171.255,167.962,170.921,1513159.9934786
2020-12-22,170.18,170.507,168.967,169.826,982962.43916627
2020-12-23,170.931,171.67,168.513,168.711,970797.70747646
2020-12-24,169.609,170.053,168.455,170.043,385815.76636178
2020-12-28,170.98,171.572,169.953,170.092,800093.9832139
2020-12-29,170.891,171.226,168.129,168.396,827868.95449398
2020-12-30,169.106,169.737,166.906,167.38,817723.05924615
2020-12-31,167.705,169.934,166.916,169.688,1186690.5150505
2021-01-04,169.461,170.053,161.532,162.715,2353762.5230797
2021-01-05,162.439,163.898,161.196,162.252,1548828.8079032
2021-01-06,159.973,163.178,159.875,161.699,1709259.8892759
2021-01-07,161.847,163.671,161.256,162.607,1658039.6461668
2021-01-08,162.725,166.019,162.074,164.727,2739986.9238393
2021-01-11,164.608,165.23,161.906,162.271,1283518.6156801
2021-01-12,162.409,163.267,160.852,162.814,1704284.2838411
2021-01-13,155.999,159.569,155.063,158.573,3267343.3030082
2021-01-14,158.593,158.908,155.525,155.911,2690556.3574355
2021-01-15,155.604,155.723,153.416,155.17,2995784.9590246
2021-01-19,155.18,156.216,154.214,155.979,1769001.6298527
2021-01-20,156.038,156.817,154.686,156.344,1497255.6993589
2021-01-21,156.196,156.344,154.175,155.092,1938951.9661311
2021-01-22,155.2,156.433,153.888,155.979,1967750.0443775
2021-01-25,155.397,157.991,154.894,157.626,1921587.5391753
2021-01-26,158.267,159.697,156.994,158.444,2974200.3425804
2021-01-27,156.69,166.472,156.57,159.549,3671739.2597079
2021-01-28,163.573,166.186,160.447,160.585,2273117.5613821
2021-01-29,161.512,163.188,158.356,159.027,3335344.9339197
2021-02-01,159.185,162.232,159.075,160.19,1786828.4322065
2021-02-02,161.117,162.873,159.412,162.143,1935057.2645873
2021-02-03,160.9,161.65,160.092,160.664,1881450.109884
2021-02-04,161.857,164.342,160.21,164.244,1463201.1429029
2021-02-05,164.411,165.22,160.999,161.107,1595298.5493896
2021-02-08,161.759,162.488,160.338,161.719,1822608.784556
2021-02-09,161.67,162.183,160.269,161.206,1815882.0336991
2021-02-10,162.163,162.419,160.082,160.772,1669566.5837221
2021-02-11,162.153,162.202,160.417,160.635,1234979.338695
2021-02-12,159.855,161.029,158.159,160.862,1898629.9922729
2021-02-16,159.717,161.542,158.928,160.003,2102150.2020242
2021-02-17,158.819,161.246,158.435,160.959,1319725.8540881
2021-02-18,161.049,166.621,160.102,166.216,2311464.2999873
2021-02-19,166.433,166.986,162.754,163.04,2077592.5928891
2021-02-22,162.439,165.22,160.959,164.5,1521469.5688889
2021-02-23,164.51,168.149,163.878,165.713,1952617.3899024
2021-02-24,163.82,170.319,162.764,170.102,2045383.4821008
2021-02-25,168.316,171.048,168.021,169.037,2581048.4226989
