Date,Open,High,Low,Close,Volume
2020-12-01,33.5,33.95,33.37,33.65,14414632
2020-12-02,33.6,34.27,33.26,34.15,19584262
2020-12-03,34.15,34.21,33.7,33.81,21070882
2020-12-04,33.8,34.42,33.57,34.41,26383227
2020-12-07,34.36,34.49,33.905,34.25,18398244
2020-12-08,34.05,34.16,33.68,33.97,20816163
2020-12-09,34.03,34.34,33.72,34.13,14858384
2020-12-10,34.05,34.265,33.95,34.0,11028976
2020-12-11,33.76,34.14,33.4327,33.6,14827303
2020-12-14,33.93,34.26,33.42,33.45,8712937
2020-12-15,33.82,34.965,33.75,34.67,16700678
2020-12-16,34.76,35.645,34.58,35.13,13985311
2020-12-17,35.19,35.41,35.02,35.39,10503038
2020-12-18,35.55,36.13,35.305,35.45,23166583
2020-12-21,34.93,35.0,34.16,34.82,10484826
2020-12-22,34.79,34.935,34.19,34.36,9425660
2020-12-23,34.51,34.91,34.36,34.37,7381419
2020-12-24,34.45,34.63,34.22,34.59,2608757
2020-12-28,34.76,35.065,34.7,34.92,4842128
2020-12-29,35.2,35.73,35.08,35.5,8787162
2020-12-30,35.5,35.73,35.38,35.55,6814040
2020-12-31,35.6,36.005,35.37,35.95,6214812
2021-01-04,36.08,36.1,35.03,35.27,14068966
2021-01-05,35.39,36.47,35.13,36.24,14812571
2021-01-06,35.97,36.93,35.87,36.76,13236492
2021-01-07,36.76,36.81,36.345,36.56,7267616
2021-01-08,36.58,37.04,36.52,36.75,7288865
2021-01-11,36.38,36.54,36.17,36.44,7228421
2021-01-12,36.3,36.37,34.58,35.33,19636540
2021-01-13,35.25,36.18,35.2,36.06,9942223
2021-01-14,36.1,36.46,35.895,36.16,10213169
2021-01-15,36.16,36.57,35.875,36.33,15109680
2021-01-19,36.89,36.89,35.935,36.27,8081343
2021-01-20,36.28,36.815,36.07,36.66,7617814
2021-01-21,36.7,37.74,36.5,37.52,12188194
2021-01-22,37.53,37.5933,37.0,37.03,7405570
2021-01-25,36.89,37.135,36.435,36.78,6157878
2021-01-26,36.75,36.89,36.49,36.64,5869604
2021-01-27,36.25,36.38,35.66,35.82,15133831
2021-01-28,35.93,36.57,35.6,36.34,16495182
2021-01-29,36.12,36.69,35.045,35.44,18873502
2021-02-01,35.83,36.145,35.22,35.95,12285373
2021-02-02,36.05,37.065,35.97,36.64,12475850
2021-02-03,36.45,37.58,36.3,37.45,16681886
2021-02-04,37.5,39.06,37.41,38.76,16035396
2021-02-05,39.0,39.4,38.81,38.96,19216657
2021-02-08,38.92,39.68,38.92,39.57,10354755
2021-02-09,39.51,39.6,38.68,39.25,11600446
2021-02-10,39.25,39.5,38.52,38.85,8847502
2021-02-11,39.01,39.15,38.6,38.87,5546573
2021-02-12,38.75,38.82,38.18,38.39,12443868
2021-02-16,38.28,38.46,37.69,37.93,8842821
2021-02-17,37.62,37.77,37.37,37.5,6122959
2021-02-18,37.28,37.745,36.88,37.52,6390210
2021-02-19,37.6,38.065,37.19,38.03,9407964
2021-02-22,37.92,39.34,37.85,39.2,10922144
2021-02-23,39.2,39.6225,38.73,38.75,10173880
2021-02-24,38.75,39.86,38.67,39.53,9267051
2021-02-25,39.54,39.955,39.31,39.67,11652249
2021-02-26,39.51,39.69,38.73,38.78,13454713
2021-03-01,39.12,39.1762,38.47,38.9,7790741
2021-03-02,38.9,38.99,38.57,38.76,6064524
2021-03-03,38.69,39.01,38.312,38.82,6666902
2021-03-04,39.02,39.08,37.53,37.93,8514216
2021-03-05,38.36,39.7053,38.19,39.54,12809414
