Date,Open,High,Low,Close,Volume
2020-12-01,85.0476,87.8205,84.8744,86.6906,2848692.7321734
2020-12-02,85.436,88.8372,85.26,88.3249,2952177.7906515
2020-12-03,88.2373,89.1854,87.4449,88.2178,2197061.6846875
2020-12-04,88.9424,90.0261,87.8205,89.146,2263742.5187671
2020-12-07,89.8796,90.0732,87.9571,89.851,2854313.5375962
2020-12-08,88.3338,90.0929,88.2964,89.5324,2989634.9112106
2020-12-09,89.8127,92.1609,89.6475,91.736,4759523.5195473
2020-12-10,90.1991,92.0989,89.0103,91.4941,3023184.8245263
2020-12-11,89.7556,90.2089,88.0162,89.0781,3147554.424376
2020-12-14,90.326,90.7989,87.2324,87.3869,3971078.1832377
2020-12-15,88.5856,89.5815,86.7103,89.5718,2327689.7315375
2020-12-16,90.0832,90.8756,88.6425,90.4499,2311582.9256238
2020-12-17,90.7213,91.1559,89.9287,90.9229,1885716.6585671
2020-12-18,90.8087,90.8087,87.9965,88.498,4493327.9918071
2020-12-21,90.4597,93.3801,89.1165,92.0939,4978548.8251192
2020-12-22,92.2384,92.915,91.7842,91.8039,3073522.9151387
2020-12-23,92.7597,94.5473,92.5384,93.5719,1830786.9384117
2020-12-24,93.737,94.1531,92.5777,94.035,993486.25697675
2020-12-28,94.5376,95.7941,94.1716,94.2768,2212694.5815498
2020-12-29,94.2868,94.4864,92.2631,92.9534,1968766.6773916
2020-12-30,93.2622,94.6938,92.7498,94.5954,1453972.2921175
2020-12-31,94.7125,95.8286,93.8029,95.5335,1335595.7095208
2021-01-04,96.3852,96.6359,93.7283,94.5572,3548932.0005372
2021-01-05,94.5099,97.1925,94.5099,96.7765,2246914.6795541
2021-01-06,99.5409,104.044,99.1176,103.789,4546589.8775327
2021-01-07,104.998,107.801,104.368,107.013,4962284.3885124
2021-01-08,107.27,108.027,104.989,106.846,3105242.2784707
2021-01-11,104.585,106.267,103.425,105.647,3427919.4259635
2021-01-12,106.571,107.958,105.076,107.043,3228215.5754715
2021-01-13,106.837,109.335,106.837,108.322,3120556.8630303
2021-01-14,109.246,111.615,108.509,110.563,2940247.6896175
2021-01-15,108.469,109.865,107.514,108.754,3513973.580706
2021-01-19,110.416,110.987,108.784,109.079,3517601.1205907
