Date,Open,High,Low,Close,Volume
2020-12-01,55.158,56.205,55.1396,55.4312,10610918.737798
2020-12-02,55.3857,56.112,55.281,55.4399,7134455.1384751
2020-12-03,55.3682,55.8021,54.913,55.1958,8125277.8925209
2020-12-04,55.1551,55.9308,55.0504,55.8302,7974636.3092278
2020-12-07,55.9261,55.9561,54.787,55.1677,8157819.2993517
2020-12-08,54.9227,55.5493,54.8955,55.4757,6815785.1678076
2020-12-09,55.4757,55.6849,54.8413,55.158,7970362.9136165
2020-12-10,55.0136,55.2248,54.5322,54.8228,7982541.9362378
2020-12-11,54.6146,55.1483,54.4955,55.1047,8650309.8171854
2020-12-14,55.3884,55.4156,54.8025,54.8848,13337601.190413
2020-12-15,54.8655,55.0951,54.357,54.508,8807115.2496689
2020-12-16,54.3986,54.5449,53.8302,54.0588,9579839.9569628
2020-12-17,54.05,54.3706,53.7565,54.1779,10324088.093986
2020-12-18,54.2795,54.2795,53.6829,54.1865,24200082.410466
2020-12-21,53.6083,53.7575,52.9225,53.6907,13238323.984568
2020-12-22,53.3981,53.4911,52.1052,52.2794,16329126.793983
2020-12-23,52.1875,52.848,52.1875,52.6271,9263065.6022273
2020-12-24,52.5826,52.6553,52.2426,52.3434,3752092.9701246
2020-12-28,52.3153,52.8664,52.0043,52.1778,8956838.966642
2020-12-29,52.2426,52.8887,52.013,52.1225,8314648.4786579
2020-12-30,52.2794,52.4993,51.8756,51.9579,9647881.8312239
2020-12-31,51.9124,53.5269,51.8756,53.4339,11852094.951082
2021-01-04,53.8107,55.1784,53.1318,55.1309,16921424.175055
2021-01-05,55.2413,55.4437,54.6824,55.0321,14447672.228173
2021-01-06,54.7551,56.9353,54.7502,56.8201,13326140.767295
2021-01-07,56.7735,58.0017,56.4248,57.342,11573159.609576
2021-01-08,57.4244,58.1586,57.3295,57.8187,9147331.848268
2021-01-11,58.4705,58.8646,57.1115,57.3333,12343046.055326
2021-01-12,57.4709,57.5891,56.3746,56.9382,9938198.0956162
2021-01-13,56.7,57.004,56.3512,56.4433,7438686.008485
2021-01-14,56.5352,57.9029,56.3696,57.2326,9479930.879141
2021-01-15,57.1406,58.3281,56.9847,58.086,10207309.479829
2021-01-19,59.3692,62.5113,59.2501,61.5146,20057068.212976
2021-01-20,61.4507,62.4512,61.1756,62.3591,11046087.523103
2021-01-21,62.1306,62.1306,61.0652,61.4332,8881179.5246547
2021-01-22,61.0168,61.8827,60.7543,61.3964,5358196.9321803
2021-01-25,61.1854,62.6062,60.9015,62.5141,9206397.4235575
2021-01-26,62.1123,62.7167,61.0487,61.1756,7768607.8432188
2021-01-27,60.3049,61.3781,59.6908,60.0579,10802882.889959
2021-01-28,59.8458,60.7494,58.7,59.3228,8816540.6733302
2021-01-29,58.884,60.7456,58.7359,60.1663,12782755.646115
2021-02-01,60.5615,60.7814,59.6724,59.7073,6836374.6955384
2021-02-02,59.6986,60.5073,58.8928,59.7363,8449002.8390068
2021-02-03,59.809,60.2497,59.1668,59.1755,7001531.78231
2021-02-04,59.5164,60.5237,59.1029,60.3776,8068690.2465542
2021-02-05,61.6803,63.6154,61.1854,62.7911,16428826.280283
2021-02-08,62.8269,63.0653,61.7364,62.3407,10465985.684182
2021-02-09,62.1568,62.2217,61.3141,61.7268,7218199.8573485
2021-02-10,61.6889,62.6614,61.5427,61.718,8360314.6511346
2021-02-11,61.6346,61.6346,60.581,61.3781,6573502.5308661
2021-02-12,61.2482,61.6986,60.8646,61.35,4336828.5368791
2021-02-16,60.9102,61.0836,59.1755,59.4342,10638002.505295
2021-02-17,59.005,59.745,58.5528,59.7073,8425755.7320774
2021-02-18,59.4884,60.0386,59.0022,59.8284,6699464.9705754
2021-02-19,59.6908,59.8187,58.947,59.039,6601346.1966891
2021-02-22,58.6351,59.1301,58.2642,58.8006,7193495.9344714
2021-02-23,58.5615,58.8463,57.5794,58.4055,9501516.7409536
2021-02-24,58.2961,58.9102,57.6084,58.4336,7123031.8842975
2021-02-25,58.4878,58.6719,57.3333,57.5891,8379244.9986897
2021-02-26,57.5794,57.5891,56.3057,56.3145,11335109.069424
2021-03-01,56.6457,57.4429,56.5439,57.2868,7996178.8072772
2021-03-02,57.3198,58.3232,57.1861,57.7915,7462271.7657552
2021-03-03,57.5881,58.0762,57.0205,57.5532,7720765.2228201
2021-03-04,57.5988,59.1949,57.3508,57.9939,17278129.328356
2021-03-05,58.1673,59.3818,58.0578,59.2686,10642841.694768
2021-03-08,59.1668,61.1397,58.6622,59.3867,11608283.225255
2021-03-09,60.0811,61.1349,58.947,59.0022,9783577.3708188
2021-03-10,59.3228,59.4342,58.3319,58.6177,8281350.2709131
2021-03-11,58.2496,58.7359,57.7915,57.8641,10838220.227042
2021-03-12,57.9668,58.0598,57.0389,57.1038,12463140.964892
2021-03-15,57.8369,58.5982,57.3914,58.5053,9466152.559636
2021-03-16,58.6622,59.5523,58.579,59.377,7951337.5787708
2021-03-17,59.343,59.962,58.8569,59.7577,8466482.5654376
2021-03-18,59.0148,60.2768,59.0148,59.4419,8023885.154517
2021-03-19,59.6094,59.9716,58.9877,59.7935,16418697.744177
2021-03-22,59.4177,60.9073,59.2375,60.7862,7297377.9589741
2021-03-23,60.6099,60.7174,59.622,59.8322,7084938.8833131
2021-03-24,59.7015,60.3504,59.3673,59.6917,8055913.4234838
2021-03-25,60.0908,60.1838,58.9363,59.3586,7967707.399359
2021-03-26,59.3954,60.5645,59.2743,60.518,6486638.7184577
2021-03-29,60.2951,61.6309,60.1838,61.3993,8519185.0247203
2021-03-30,61.6773,61.6773,60.4114,60.7591,6045639.5719504
2021-03-31,60.6099,60.6099,59.7935,59.9524,9505153.1022347
2021-04-01,60.9906,62.0018,60.6932,61.6309,11334602.126383
2021-04-05,61.409,61.7053,60.7862,61.5378,6544899.9991879
2021-04-06,61.223,61.6909,61.009,61.4352,6153725.8165373
2021-04-07,61.2966,61.5291,60.5043,60.8521,5593568.2112526
2021-04-08,61.3161,61.4545,60.1335,60.3136,7307432.157201
2021-04-09,60.1285,60.5267,59.5861,60.3979,6304624.4849977
2021-04-12,60.3504,60.3979,59.6917,59.9795,5292151.8559652
2021-04-13,59.7848,60.4995,59.5069,60.1935,6622763.7658019
2021-04-14,60.2672,61.3809,60.1422,60.5741,6095233.2624037
2021-04-15,60.0171,61.5756,60.0171,61.009,6074711.8777293
2021-04-16,61.2414,62.2333,61.0932,62.0308,8317914.183011
2021-04-19,61.872,62.15,60.8424,61.1766,7766211.4790697
2021-04-20,61.038,61.7838,60.5837,61.5756,5378738.9662657
2021-04-21,61.7238,62.0628,61.5709,61.9554,6016479.5061747
2021-04-22,61.6676,61.6957,60.7862,60.8889,6995010.6983091
2021-04-23,60.7591,60.945,60.1838,60.7406,5889797.4344911
2021-04-26,60.7127,61.1117,60.3329,61.0003,7404373.914659
2021-04-27,61.1669,61.223,59.9427,59.9891,7846255.8234876
2021-04-28,60.0075,60.0171,59.2326,59.776,8474661.7971437
2021-04-29,59.9524,59.9524,58.7464,59.2201,9959724.0741367
2021-04-30,57.9387,59.4594,57.4611,58.8763,14008144.352202
2021-05-03,59.2947,61.1261,59.1542,61.038,10241484.255072
