Date,Open,High,Low,Close,Volume
2020-12-01,103.264,104.402,102.73,104.203,4626758.1013733
2020-12-02,103.888,104.242,102.74,103.611,2702182.8814131
2020-12-03,103.441,105.053,102.849,104.489,4346420.5732025
2020-12-04,105.043,106.804,105.043,106.23,2443851.1326353
2020-12-07,106.181,107.555,106.042,107.229,2358488.9768053
2020-12-08,106.962,107.347,106.2,107.011,2520772.2444902
2020-12-09,106.794,107.654,106.052,107.12,2279852.5509578
2020-12-10,106.734,107.328,105.825,106.24,2256102.1273212
2020-12-11,105.815,106.686,105.133,105.825,2041683.8326967
2020-12-14,106.428,107.14,104.678,104.728,2040974.8497316
2020-12-15,105.736,108.277,105.36,108.207,3656795.5738032
2020-12-16,108.504,109.492,107.941,108.534,2624840.0207759
2020-12-17,109.207,110.196,108.781,109.977,2707832.4945986
2020-12-18,109.839,110.521,109.068,110.017,4477737.1641039
2020-12-21,109.315,110.086,107.773,109.74,2314126.4663946
2020-12-22,109.75,110.491,109.315,110.343,1973671.026058
2020-12-23,110.768,111.441,109.325,109.395,1216204.1445865
2020-12-24,109.177,110.136,109.028,109.879,524280.26033739
2020-12-28,110.738,110.868,109.829,110.758,1336963.867885
2020-12-29,111.282,111.282,110.027,110.086,1464124.6656286
2020-12-30,110.61,110.788,110.056,110.333,1107942.1424003
2020-12-31,110.423,112.529,110.196,112.42,1511962.305095
2021-01-04,113.013,113.349,109.582,110.481,2796145.8805173
2021-01-05,110.186,110.976,110.136,110.719,2344772.5331923
2021-01-06,110.967,113.666,109.949,112.864,2647565.9084016
2021-01-07,112.48,113.398,112.024,112.934,2418066.8077964
2021-01-08,113.587,115.139,113.201,114.704,2467015.9626389
2021-01-11,114.268,115.851,113.952,114.724,1904768.1980082
2021-01-12,115.505,116.058,114.318,114.921,2846060.9108686
2021-01-13,114.744,115.514,114.684,114.902,2455804.7270212
2021-01-14,114.497,114.694,112.034,112.746,2693637.6644772
2021-01-15,112.143,112.746,111.737,112.32,2652715.8959313
2021-01-19,112.567,112.964,111.362,112.014,3056514.5646612
2021-01-20,112.587,112.587,110.7,111.826,2318076.9477949
2021-01-21,111.679,111.886,110.017,110.106,1543653.1356632
2021-01-22,109.73,110.126,108.801,109.138,1975453.0916565
2021-01-25,109.148,110.274,108.968,109.662,2883027.1410743
2021-01-26,109.919,110.363,109.068,109.839,1604876.4948772
2021-01-27,109.118,109.612,106.25,106.626,2472417.7857724
2021-01-28,107.051,111.737,106.389,109.809,2932741.9166081
2021-01-29,108.791,109.088,106.497,107.604,2862613.2863419
2021-02-01,108.761,111.025,108.347,110.591,2623231.9139078
2021-02-02,111.233,114.674,111.125,113.873,2491122.3948401
2021-02-03,113.735,114.338,112.43,112.43,2132919.118453
2021-02-04,114.021,114.14,111.243,111.689,2929848.3356336
2021-02-05,112.133,112.281,108.958,111.342,3517814.6848854
