Date,Open,High,Low,Close,Volume
2020-12-01,37.7457,38.274,37.6169,38.1163,1905422.0941975
2020-12-02,38.1559,38.5722,37.6843,38.4116,2309485.4253157
2020-12-03,38.5385,38.9795,38.2838,38.4116,1562811.0367866
2020-12-04,38.6267,39.038,38.255,38.7546,1524097.1134196
2020-12-07,38.7248,39.15,38.5573,39.048,1636926.1115241
2020-12-08,38.8714,39.4097,38.7149,38.9201,1693911.2388322
2020-12-09,39.1064,39.1946,38.2838,38.3433,1857624.5358895
2020-12-10,38.0183,38.2453,37.7457,38.2056,2592964.0575787
2020-12-11,37.9509,38.813,37.9221,38.803,2087296.6067259
2020-12-14,39.1351,39.4294,38.4116,38.4116,2461715.5224586
2020-12-15,38.7645,38.8714,38.4316,38.813,1552679.9887075
2020-12-16,38.9399,39.5375,38.8417,39.3809,2131449.4094899
2020-12-17,39.4581,39.8695,39.2738,39.587,1963610.0311979
2020-12-18,39.6654,39.7049,39.038,39.2144,5844627.8726376
2020-12-21,38.8328,39.155,38.3472,38.8804,2249133.0363104
2020-12-22,38.9201,39.028,38.5385,38.6753,2830328.257848
2020-12-23,38.9002,39.254,38.808,38.8328,2870663.7543488
2020-12-24,38.9201,39.028,38.7149,39.0182,787962.44572579
2020-12-28,39.2738,39.4581,38.6554,38.6654,2131498.8538481
2020-12-29,38.9101,39.028,38.3919,38.6168,1245919.1181645
2020-12-30,38.7833,39.4394,38.7298,38.8714,1079149.3525183
2020-12-31,38.8617,39.7248,38.6456,39.6554,1324884.7853439
2021-01-04,39.6851,39.8497,38.373,38.8328,2335811.0142934
2021-01-05,38.8714,39.1648,38.3384,38.4593,2012407.576423
2021-01-06,38.5772,38.8328,37.6566,38.5385,4717223.8537655
2021-01-07,38.8617,39.5969,38.7863,39.3413,2896412.1561253
2021-01-08,39.5771,40.0081,39.1747,39.6554,2312086.8039957
2021-01-11,39.3997,39.9834,39.3125,39.7435,1470730.5058737
2021-01-12,39.7812,39.8992,39.4581,39.587,1053412.0504957
2021-01-13,39.6554,40.6255,39.3413,40.3501,3574446.6757811
2021-01-14,40.4392,40.6345,39.9685,40.136,1762480.472908
2021-01-15,39.8397,40.0578,39.3343,39.8794,2149483.4823257
2021-01-19,40.2708,40.2808,39.7337,40.1272,2024746.4664539
2021-01-20,40.4195,40.7416,40.3302,40.6058,1755906.3914105
2021-01-21,40.6821,40.8792,40.1072,40.2906,1467415.7157402
2021-01-22,39.9685,40.3402,39.3511,39.371,1912770.1312606
2021-01-25,39.2243,39.6454,38.3919,38.7347,3077193.8474315
2021-01-26,39.1153,39.1747,38.255,38.3433,2760519.8876127
2021-01-27,37.4623,37.716,36.7171,36.7844,2949614.2855003
2021-01-28,37.2056,38.5087,36.8736,38.1362,2110551.6001553
2021-01-29,37.8339,38.5237,37.3889,38.1461,3869428.6893292
2021-02-01,38.4394,40.0181,38.4116,39.6058,1883610.0687715
2021-02-02,40.2411,41.6324,40.1172,41.4382,2598580.5330378
