Date,Open,High,Low,Close,Volume
2020-12-01,142.552,143.88,141.175,141.442,4069209.615397
2020-12-02,141.265,142.948,140.314,141.076,3866437.6827905
2020-12-03,141.582,142.364,139.076,140.046,4177461.378993
2020-12-04,140.006,144.524,139.938,144.267,3147553.4258245
2020-12-07,143.147,144.147,142.344,143.265,2713123.0421474
2020-12-08,142.84,145.91,142.771,145.088,2834319.0266782
2020-12-09,150.24,154.449,149.348,153.538,8606647.123721
2020-12-10,155.371,157.432,153.717,156.462,6617246.6486807
2020-12-11,155.223,156.629,154.569,155.52,3535432.8660092
2020-12-14,156.164,157.709,153.38,153.45,4517554.304725
2020-12-15,154.936,163.475,153.588,162.701,7178596.6176605
2020-12-16,164.911,168.309,162.058,167.2,6184402.1162933
2020-12-17,166.892,168.993,166.268,167.754,3574670.3196262
2020-12-18,167.645,168.011,164.237,166.565,7570075.768666
2020-12-21,164.119,164.237,161.118,164.019,3762152.0615987
2020-12-22,162.968,163.633,161.186,162.029,2519999.4651281
2020-12-23,162.721,163.248,160.8,160.8,1746555.2614024
2020-12-24,161.166,163.188,161.166,161.969,645437.4371121
2020-12-28,162.504,162.881,160.542,161.81,1525033.7413641
2020-12-29,161.939,163.008,161.225,161.889,1761725.3270818
2020-12-30,162.711,163.633,161.989,162.316,1454498.1851127
2020-12-31,162.375,164.367,161.602,164.079,1691486.5501299
2021-01-04,164.257,164.704,158.512,160.82,3256771.2363234
2021-01-05,160.522,161.969,158.591,161.632,2390218.0794393
2021-01-06,158.383,162.554,158.373,159.691,3724776.0400494
2021-01-07,159.552,162.414,157.213,161.146,3113349.1068546
2021-01-08,161.532,162.167,159.998,161.722,3538060.4732066
2021-01-11,179.781,183.951,176.878,180.711,11733299.816921
2021-01-12,177.64,179.038,172.42,173.767,7387691.766358
2021-01-13,174.749,182.326,174.282,180.276,7515908.4992785
2021-01-14,180.049,183.634,179.365,181.415,4541299.6770284
2021-01-15,181.525,186.368,181.525,185.387,6816884.2284833
2021-01-19,190.459,193.887,188.598,192.887,7953428.8198098
2021-01-20,193.164,196.076,193.074,195.591,5490708.7688981
2021-01-21,197.959,198.95,192.431,196.631,8955546.5209054
2021-01-22,196.333,200.713,194.907,200.326,6306707.4901096
2021-01-25,202.367,206.538,202.218,206.358,6132048.8346638
2021-01-26,206.558,207.221,204.665,206.725,6793123.714379
