Date,Open,High,Low,Close,Volume
2020-12-01,150.808,151.738,147.821,148.464,6308374.6039701
2020-12-02,147.515,148.069,145.596,146.941,5303451.4683129
2020-12-03,147.109,148.217,146.506,147.089,5031747.3465013
2020-12-04,146.882,147.515,145.022,145.17,4865337.7101948
2020-12-07,145.28,147.693,144.518,147.109,7548523.4745772
2020-12-08,147.772,148.098,145.616,146.387,6959204.8008322
2020-12-09,154.368,155.822,152.172,154.991,11458790.968159
2020-12-10,154.358,156.257,152.934,155.08,6867993.6663697
2020-12-11,154.635,154.971,152.43,152.766,5468277.6376657
2020-12-14,153.666,157.217,153.29,154.952,4808778.8187125
2020-12-15,155.961,159.016,155.783,158.087,4924984.6655832
2020-12-16,158.848,160.856,157.345,157.958,4590942.9079463
2020-12-17,159.352,160.094,157.839,158.294,4619925.6112011
2020-12-18,157.899,160.016,156.693,157.958,12312380.771649
2020-12-21,156.821,160.53,156.099,159.046,5324058.7840976
2020-12-22,158.75,160.53,158.374,159.323,3384325.9218362
2020-12-23,159.708,160.302,157.078,157.207,3733578.4670759
2020-12-24,157.207,157.958,156.88,157.543,1079303.6140239
2020-12-28,158.008,158.571,156.415,156.831,2722424.6012978
2020-12-29,157.711,158.057,154.348,155.387,3436483.2605408
2020-12-30,155.446,156.495,155.031,155.407,3334118.0877849
2020-12-31,155.456,155.703,154.131,155.357,2413060.0537553
2021-01-04,155.615,156.197,152.084,155.229,7483802.5490904
2021-01-05,154.309,156.861,154.002,155.763,4041744.7972875
2021-01-06,153.29,159.848,152.934,157.83,5100849.6016886
2021-01-07,158.205,159.55,157.563,158.462,4281917.0969487
2021-01-08,158.492,160.905,157.8,159.758,5136484.6862264
2021-01-11,159.62,162.023,159.016,160.974,3105098.8152632
2021-01-12,160.945,164.772,159.856,163.555,4170874.2017168
2021-01-13,164.663,166.176,163.783,164.377,3401062.5406226
2021-01-14,164.881,167.036,164.505,164.921,4226674.7277997
2021-01-15,163.081,166.493,162.607,165.83,3850930.9624304
2021-01-19,167.937,168.817,165.741,165.85,4821535.5358831
2021-01-20,166.325,169.054,164.782,167.432,4015279.8671585
2021-01-21,168.609,170.043,167.314,167.393,5480577.313289
2021-01-22,166.948,169.124,166.117,167.442,3719126.0448724
2021-01-25,167.946,170.113,166.522,169.104,4905099.3136588
2021-01-26,169.292,169.875,168.026,168.718,2570102.3606493
2021-01-27,166.127,166.918,162.25,162.893,4903489.5567044
2021-01-28,164.041,168.748,162.943,167.393,3929478.4058779
2021-01-29,166.632,166.858,161.716,162.062,4530594.211775
2021-02-01,162.329,163.357,157.483,158.67,4013800.5490529
2021-02-02,159.174,162.973,158.74,161.875,3276289.1870472
2021-02-03,161.479,165.336,161.33,165.0,3085361.0918032
2021-02-04,165.632,168.164,164.94,168.056,2759045.5608547
2021-02-05,169.667,170.162,168.214,170.003,2638619.1577483
2021-02-08,170.923,174.068,170.459,174.028,3523260.4853018
2021-02-09,173.692,174.316,172.288,172.664,2804618.2655853
2021-02-10,173.86,173.86,170.103,172.16,2921785.7197824
2021-02-11,171.913,172.536,169.865,170.677,2866233.9375504
2021-02-12,170.715,172.565,170.359,172.081,2095754.9149047
2021-02-16,171.211,172.209,168.936,169.064,3034803.3985143
2021-02-17,168.857,172.367,168.52,172.051,2346267.2739974
2021-02-18,170.903,172.931,170.301,172.081,2840491.9824354
2021-02-19,172.407,173.96,171.715,172.437,2926025.4879416
2021-02-22,171.161,171.428,167.254,167.452,3879104.7425926
2021-02-23,165.84,165.998,160.252,163.743,5301769.9194342
2021-02-24,163.813,164.743,155.515,157.651,10267155.237725
2021-02-25,158.789,158.799,153.419,153.953,6835621.5753567
2021-02-26,155.743,157.751,154.556,155.169,6208716.2901129
2021-03-01,156.149,158.799,156.149,157.285,3460710.5071648
2021-03-02,157.76,160.064,157.731,158.374,4459021.7076937
2021-03-03,157.533,158.156,153.686,153.745,5393388.5489046
2021-03-04,152.668,153.735,146.516,149.355,8023137.8649423
2021-03-05,150.491,154.517,146.743,154.012,5295112.4823819
2021-03-08,155.159,160.55,154.714,158.245,4749829.5594914
2021-03-09,160.974,164.357,160.252,161.222,4720728.5512344
2021-03-10,162.211,165.504,161.677,163.615,3495285.9024513
2021-03-11,165.91,168.154,165.474,165.84,5137111.6016232
2021-03-12,165.197,166.888,164.367,166.632,3746268.4480914
2021-03-15,167.6,170.271,167.6,169.203,3856258.7321492
2021-03-16,169.025,171.457,168.975,170.291,3847725.6046759
2021-03-17,169.796,170.865,168.886,169.44,3212169.8981104
2021-03-18,167.946,171.567,167.364,169.855,4003021.6488437
2021-03-19,169.242,175.354,169.242,174.346,8777161.3695762
2021-03-22,174.404,178.321,173.218,176.679,4839121.5239167
2021-03-23,176.046,178.519,174.77,175.206,3422740.6683509
2021-03-24,175.918,178.865,175.453,175.483,3660537.7675815
2021-03-25,174.563,180.814,174.376,179.854,4677607.8946282
2021-03-26,180.497,186.351,180.012,186.114,4936926.392738
2021-03-29,186.5,187.36,182.396,183.206,4088346.8566535
2021-03-30,181.526,185.541,181.338,184.551,3652463.7039632
2021-03-31,185.511,186.668,183.731,184.709,3669742.3012216
2021-04-01,185.719,186.381,184.245,185.827,3286611.045709
2021-04-05,186.361,189.09,185.758,188.171,3610880.0012331
2021-04-06,187.34,189.378,186.955,188.626,3004203.8602281
2021-04-07,187.944,189.16,187.133,188.112,3373126.3816188
2021-04-08,188.696,189.506,187.736,188.636,2763832.3632553
2021-04-09,189.783,192.967,188.725,192.809,3262459.6356249
2021-04-12,192.473,195.212,192.473,194.886,3755729.8148135
2021-04-13,194.946,195.45,193.304,193.977,3052175.0219283
2021-04-14,195.282,198.328,194.956,195.736,3471574.3442987
2021-04-15,194.886,199.189,194.847,198.694,3764396.4145972
2021-04-16,200.642,202.986,199.367,202.264,6547806.7390017
2021-04-19,200.089,201.344,197.646,198.16,3942004.5799672
2021-04-20,198.17,198.723,195.252,197.527,3085973.8510458
2021-04-21,198.535,199.623,197.972,198.635,2788856.3991256
2021-04-22,198.615,199.545,194.085,196.102,3811492.9282035
2021-04-23,196.578,196.666,194.342,195.736,3730463.1020155
2021-04-26,195.648,195.736,193.175,194.036,3097073.2870305
2021-04-27,194.896,195.934,193.551,193.897,3545511.9372721
2021-04-28,194.57,194.669,190.644,191.0,5070247.0299408
2021-04-29,192.207,194.273,191.841,193.314,3962719.0780615
2021-04-30,192.681,193.126,190.218,191.178,4368500.1801676
2021-05-03,193.621,194.906,192.751,194.046,4752411.0353108
2021-05-04,193.571,195.312,191.692,195.124,4260225.8242201
2021-05-05,196.33,196.33,193.927,194.827,2578685.034662
2021-05-06,196.102,200.741,195.252,200.623,4645296.4728473
2021-05-07,200.741,203.836,199.396,203.016,3793186.9986174
2021-05-10,204.124,209.662,203.124,205.844,4595725.6657314
2021-05-11,202.63,204.242,196.024,200.029,4567292.0190257
2021-05-12,197.952,198.694,189.754,190.485,5550128.5207927
2021-05-13,192.711,197.507,192.493,195.163,4614814.2284096
2021-05-14,196.498,196.983,192.117,193.779,3842311.8868785
2021-05-17,192.533,193.571,187.153,189.11,5952644.6070663
