Date,Open,High,Low,Close,Volume
2020-12-01,34.481,35.1689,34.4196,34.8332,12461692.699349
2020-12-02,34.8254,35.1257,34.3342,34.4292,10450066.922553
2020-12-03,34.6096,34.8687,34.3476,34.7736,17203504.272031
2020-12-04,35.0144,35.5901,34.929,35.5901,11407632.768702
2020-12-07,35.6937,35.9345,35.3071,35.8664,11561702.080802
2020-12-08,35.616,36.3989,35.2131,36.3309,14855989.822433
2020-12-09,36.4508,37.1397,36.3826,36.9755,19396034.309334
2020-12-10,37.0706,37.1051,36.5371,36.9497,11214083.866329
2020-12-11,36.6667,37.1099,36.6667,36.9929,9709124.4698957
2020-12-14,37.3027,37.3027,36.8979,36.9065,17686954.414547
2020-12-15,36.846,36.9334,36.1687,36.2866,16778684.119526
2020-12-16,36.304,37.1349,36.2866,37.0782,15152802.25778
2020-12-17,36.9669,37.0964,36.7425,36.9929,10029838.947106
2020-12-18,36.9583,37.7422,36.9238,37.6644,27815380.294887
2020-12-21,37.0878,37.1483,36.6321,36.943,11761669.191598
2020-12-22,36.9929,37.1051,36.3989,36.6062,10547293.71256
2020-12-23,36.7185,37.0533,36.6667,36.8815,8776117.2864786
2020-12-24,36.776,36.8019,36.1284,36.6264,6897965.8561334
2020-12-28,36.776,37.1224,36.2052,36.4163,9861832.5965121
2020-12-29,36.5649,36.6964,35.7485,35.7581,10228343.773652
2020-12-30,35.7139,35.9682,35.4251,35.7667,8017488.8028444
2020-12-31,35.6697,36.0861,35.2668,35.9941,8299993.1567934
2021-01-04,36.0651,36.0909,35.1161,35.854,12139398.163033
2021-01-05,35.8626,36.1869,35.7312,35.7839,7262398.7761118
2021-01-06,35.9327,36.5122,35.7388,36.3634,10306261.741107
2021-01-07,36.5304,36.8546,36.3366,36.6791,7931147.3276774
2021-01-08,36.6964,36.7319,36.2397,36.5122,9470554.3055716
2021-01-11,36.5831,36.8969,36.2493,36.302,11072003.617482
2021-01-12,36.2311,36.3855,35.6697,35.9327,8343065.4012466
2021-01-13,35.7916,36.21,35.7916,36.0737,8560028.5699805
2021-01-14,36.1524,36.6791,35.8894,36.0909,7931700.7652665
2021-01-15,35.9941,36.2924,35.8808,36.1706,9192220.0152643
2021-01-19,36.3279,36.7271,36.0037,36.1965,10996217.062211
