Date,Open,High,Low,Close,Volume
2020-12-01,68.3974,69.3964,68.1014,69.3068,7548533.7203385
2020-12-02,69.5396,70.2796,69.2971,70.2415,6018468.7099502
2020-12-03,70.4042,70.782,69.9096,70.6301,4794101.2033542
2020-12-04,70.6554,72.7265,70.6554,72.6544,5199797.9016781
2020-12-07,72.8881,73.9036,72.4743,73.4898,5806388.5440946
2020-12-08,73.1306,74.7858,72.7703,74.3555,6349426.6168347
2020-12-09,74.8404,76.4596,74.5336,76.1266,7668885.2245174
2020-12-10,75.6135,76.8462,75.5327,76.4508,9765087.8761266
2020-12-11,75.5784,76.6573,74.778,76.4772,5411719.9075859
2020-12-14,77.1246,77.1801,75.9007,75.9387,14312473.939081
2020-12-15,76.3155,76.6573,75.7128,75.8384,9587287.3384389
2020-12-16,75.8384,77.6212,75.7663,77.0457,10058318.473384
2020-12-17,77.2142,77.3778,76.6038,77.0808,6446278.0176001
2020-12-18,76.8199,77.926,76.5677,77.4586,14357735.413495
2020-12-21,76.2707,76.2707,74.7333,75.7313,8527065.2093615
2020-12-22,75.4577,75.5209,74.1792,75.0195,5598055.9473919
2020-12-23,75.2551,75.5035,74.8735,75.0283,4056732.8243553
2020-12-24,74.9913,75.3925,74.8735,75.3106,1236382.5275661
2020-12-28,75.703,76.2795,74.9095,75.2931,4961808.2607365
2020-12-29,75.8588,75.9688,74.5346,74.7274,2648376.0018541
2020-12-30,74.819,75.0283,74.2163,74.3711,3162265.4016163
2020-12-31,74.3535,75.6846,74.1977,75.5668,3168886.5521585
2021-01-04,75.594,75.6203,72.893,74.3886,5904661.3303649
2021-01-05,75.0098,75.8404,74.6904,75.2016,5787847.8847586
2021-01-06,75.4937,75.9864,74.854,75.3028,6986294.6191296
2021-01-07,75.4742,76.0858,75.1373,75.7401,5285470.269769
2021-01-08,76.0225,76.4421,75.2746,75.8404,4421329.5035154
2021-01-11,75.8501,76.3885,74.8783,75.1276,5147206.6379947
2021-01-12,74.8452,75.1656,73.1394,73.9971,5807001.6706455
2021-01-13,73.8316,74.3155,73.4947,74.1247,5784987.6545338
2021-01-14,74.1432,74.4538,73.518,74.0975,6030855.5094989
2021-01-15,73.8599,74.2708,72.8744,73.8784,4921626.39088
2021-01-19,74.3341,75.1101,73.7586,74.7537,8419964.2223683
2021-01-20,74.3243,74.8735,73.9436,74.5716,5186012.3109028
2021-01-21,74.8004,74.9182,74.0244,74.2337,4565601.1592809
2021-01-22,74.042,74.2892,73.4947,73.6408,3457972.1263678
2021-01-25,73.4753,74.261,73.0555,74.2425,4553242.0890738
2021-01-26,74.3886,75.1091,74.0702,74.8365,4068321.6350764
2021-01-27,74.0244,74.891,72.5094,72.8385,5801596.5030787
2021-01-28,72.8385,74.9095,72.7654,74.188,3620722.8207104
2021-01-29,74.0146,74.3437,72.5999,72.7001,5595824.2489076
2021-02-01,72.1072,72.7732,71.5055,72.1607,6803407.287796
2021-02-02,72.7089,73.1929,72.2991,72.3545,5248907.5924844
2021-02-03,72.2991,73.7868,72.0244,73.2299,4683688.1005708
2021-02-04,73.0487,76.3885,73.039,76.333,5906887.893786
2021-02-05,77.0273,77.3924,76.1967,76.927,5531742.7677175
2021-02-08,77.0371,78.5336,76.8082,78.4878,5306507.5968524
2021-02-09,78.6699,79.1334,78.1042,78.1587,4607435.4924882
2021-02-10,79.409,80.073,77.6212,78.4411,5763441.9561895
2021-02-11,78.6164,78.89,77.556,77.9134,3911567.6675859
2021-02-12,77.9485,78.6602,77.6378,78.6066,3941301.7377733
2021-02-16,78.3876,78.6981,77.8754,78.4956,4736229.0406344
2021-02-17,78.222,79.4732,78.149,79.0526,5590318.4341012
2021-02-18,78.5969,79.3457,78.4956,78.7974,7515494.7234495
2021-02-19,78.7974,79.1041,77.9173,77.9942,4699521.5545664
2021-02-22,77.7303,79.0623,77.3466,78.9533,3862947.8618127
