Date,Open,High,Low,Close,Volume
2020-12-01,346.863,346.863,327.451,328.742,2294392.5855241
2020-12-02,332.971,333.031,325.266,327.719,1742089.5995591
2020-12-03,324.859,329.02,320.241,321.175,1775159.1741543
2020-12-04,325.296,333.845,323.549,333.795,3111575.4516421
2020-12-07,332.594,334.51,327.302,330.638,1720075.1084191
2020-12-08,329.715,331.323,327.569,328.136,1665008.163611
2020-12-09,328.672,329.566,319.12,321.822,2034173.6260444
2020-12-10,321.772,323.687,318.445,320.411,1500172.9113402
2020-12-11,319.487,323.539,317.859,319.408,1453193.0868878
2020-12-14,321.969,323.29,317.869,318.276,1695130.9244875
2020-12-15,319.378,321.245,317.859,318.435,1228072.0283291
2020-12-16,320.083,320.083,314.413,315.526,1839711.1126747
2020-12-17,317.501,317.501,311.167,315.714,3072827.7718706
2020-12-18,315.903,318.018,313.838,317.114,3031646.9061989
2020-12-21,313.381,314.592,306.479,314.255,2248995.9432884
2020-12-22,313.232,314.92,309.677,313.609,1655230.0999083
2020-12-23,314.672,316.22,308.337,308.407,1065310.4224855
2020-12-24,308.019,311.654,308.019,311.305,499156.60635229
2020-12-28,313.609,313.699,309.131,312.745,1047922.6101642
2020-12-29,315.149,317.521,314.463,316.141,1076582.0353151
2020-12-30,317.323,318.882,315.416,318.226,1362732.1498282
2020-12-31,318.892,323.36,317.908,323.24,1031383.7944132
2021-01-04,326.19,331.125,324.998,327.689,3286086.0420521
2021-01-05,326.259,329.069,319.676,322.963,2046887.4252187
2021-01-06,321.602,324.968,318.743,323.37,1666079.732236
2021-01-07,323.926,327.908,320.957,323.578,1888172.4008931
2021-01-08,325.683,325.683,317.303,321.404,1519201.3113402
2021-01-11,319.349,320.034,313.371,313.878,1571780.6861259
2021-01-12,314.423,314.423,308.048,310.6,2309996.8000685
2021-01-13,309.349,310.263,306.162,306.847,1969707.2921604
2021-01-14,307.741,311.137,299.926,301.069,1943026.8447802
2021-01-15,301.286,302.597,298.477,300.85,2747619.7866684
2021-01-19,302.379,308.882,301.595,307.93,2261729.8847301
2021-01-20,312.388,319.04,309.756,316.577,2847000.72684
2021-01-21,314.781,317.601,311.305,312.428,1649842.0433824
2021-01-22,311.494,315.267,309.806,309.886,1544858.5315371
2021-01-25,310.78,312.915,306.509,309.677,1478432.3550365
2021-01-26,310.114,315.694,308.068,313.689,1504926.4864434
2021-01-27,312.805,322.189,298.437,301.187,3127069.8908291
2021-01-28,303.561,318.276,301.953,313.649,2768178.9989897
2021-01-29,309.419,314.82,306.659,311.713,2780890.7839373
2021-02-01,314.423,317.501,311.891,316.479,1804725.0013377
2021-02-02,318.822,326.627,318.673,324.601,2437622.2346829
2021-02-03,324.501,324.501,318.762,318.842,1733995.4294099
2021-02-04,319.279,322.983,318.842,322.963,1192329.5748517
