Date,Open,High,Low,Close,Volume
2020-12-01,230.494,230.97,225.18,225.965,1496774.5975577
2020-12-02,225.896,229.212,224.545,229.163,805153.26474582
2020-12-03,229.173,231.229,227.832,229.659,1091306.5767044
2020-12-04,229.6,234.367,229.093,234.367,863164.29491475
2020-12-07,232.331,234.109,230.484,231.645,721076.94389172
2020-12-08,229.64,231.527,229.004,230.315,946479.37958876
2020-12-09,231.079,232.619,229.928,230.791,1029202.3916782
2020-12-10,229.878,232.093,228.348,229.997,894678.06307413
2020-12-11,228.904,229.65,225.25,227.146,1080591.8753918
2020-12-14,228.766,231.308,225.766,225.916,1093416.0870184
2020-12-15,228.726,230.662,225.538,228.964,1039551.5787934
2020-12-16,228.418,230.98,226.74,229.997,811754.67267798
2020-12-17,230.861,233.045,230.047,232.917,793722.6389304
2020-12-18,232.967,235.261,231.0,234.774,2560494.418143
2020-12-21,230.295,231.427,225.568,229.739,957562.61587754
2020-12-22,229.669,231.437,226.382,230.156,835490.94314545
2020-12-23,231.626,233.781,231.169,231.189,633422.00745024
2020-12-24,232.013,233.065,231.189,231.894,262158.26146696
2020-12-28,233.781,235.221,232.738,233.343,642306.11699653
2020-12-29,235.638,237.167,234.635,235.598,842581.71719339
2020-12-30,235.697,238.15,235.697,237.406,872580.06147571
2020-12-31,237.445,240.634,235.906,240.336,652482.11281141
2021-01-04,240.634,240.822,231.695,234.427,1136710.8912982
2021-01-05,234.764,236.899,233.671,235.062,1390666.7322321
2021-01-06,234.287,238.051,232.221,237.783,2020601.7543758
2021-01-07,238.121,239.531,235.052,239.044,939193.26186497
2021-01-08,239.888,242.689,236.999,238.984,1405536.010898
2021-01-11,237.952,238.657,236.164,237.197,555510.08857307
2021-01-12,235.727,237.167,232.728,234.615,840225.50996928
2021-01-13,234.605,239.55,233.999,238.528,709646.31807631
2021-01-14,238.23,239.412,236.184,237.475,1074419.4180055
2021-01-15,237.187,238.975,234.159,237.336,1306255.1049652
2021-01-19,238.329,239.55,235.936,237.416,852128.38415569
