Date,Open,High,Low,Close,Volume
2020-12-01,61.9494,63.0666,61.2613,62.8014,10835585.959853
2020-12-02,62.4523,62.9551,62.1427,62.9166,6491931.3530329
2020-12-03,63.1386,63.885,62.8773,63.7973,7644882.7781356
2020-12-04,63.9125,64.6195,63.807,64.4944,6812193.7783912
2020-12-07,63.8357,64.2813,63.2658,63.7686,5144614.9344283
2020-12-08,63.0902,63.671,62.9166,63.3229,4432472.3732469
2020-12-09,64.0102,64.7457,63.5655,64.582,6913087.7914342
2020-12-10,63.8455,64.7506,63.4688,64.3878,5849456.1687106
2020-12-11,63.9322,64.1985,63.3899,63.9422,7725677.0972654
2020-12-14,64.7753,64.8049,63.2165,63.246,8939716.6626336
2020-12-15,64.2911,64.6195,63.5073,64.6008,6119600.1928975
2020-12-16,64.9785,65.0366,64.1985,64.4844,6876493.9345324
2020-12-17,64.9785,65.5108,64.659,65.3461,7918896.0288983
2020-12-18,65.4823,65.9161,64.6393,65.5295,17933555.843482
2020-12-21,64.2911,65.3935,64.02,65.0849,10114974.711408
2020-12-22,64.9785,65.5592,64.5337,64.8236,5071573.2674466
2020-12-23,65.2584,65.8974,65.1518,65.1815,2923651.4961481
2020-12-24,64.7072,64.9785,64.4548,64.8335,1711712.368064
2020-12-28,65.3659,66.4633,64.8906,66.2069,3818473.2766227
2020-12-29,66.4485,66.6812,65.7632,65.8105,3681867.7728956
2020-12-30,65.8105,66.5668,65.8105,66.1113,4624346.4570582
2020-12-31,66.2858,66.3923,65.8884,66.1014,4714989.808764
2021-01-04,66.1113,66.2069,64.3661,64.6687,6540085.2216021
2021-01-05,64.3484,64.7359,64.0496,64.582,5040212.7550089
2021-01-06,65.0069,68.0852,65.0069,67.4178,6714312.9952714
2021-01-07,67.893,68.1927,67.3606,67.6602,4784612.5602052
2021-01-08,67.8634,68.6818,67.2719,67.969,6515941.8562977
2021-01-11,67.3506,67.6415,65.9752,66.1774,6057536.3787223
2021-01-12,65.7819,66.838,65.3836,66.2069,6114912.4955887
2021-01-13,66.0817,66.3923,65.2111,65.9457,5914431.7914047
2021-01-14,66.2266,66.6901,65.7337,65.8402,4305491.7607921
2021-01-15,65.3461,66.3824,64.8906,66.2661,6594279.7490143
2021-01-19,66.3046,66.6625,64.9301,65.0267,5155890.9661634
2021-01-20,65.3659,66.5176,65.2012,66.1014,4709436.9868761
2021-01-21,66.1587,66.5668,65.7918,65.8786,4457117.7745029
2021-01-22,65.7041,66.0147,64.7072,64.7654,5783938.9557174
2021-01-25,64.7072,64.7072,62.3646,63.5753,7120778.5432532
2021-01-26,63.7588,63.7588,62.3546,62.404,7341557.7273029
2021-01-27,61.3973,62.7432,60.2447,61.8805,10818140.464091
2021-01-28,62.6841,64.2083,62.1427,63.3899,8541134.6004115
2021-01-29,63.0627,63.9224,61.7266,61.9879,5954285.3322422
2021-02-01,62.3743,62.4572,61.3677,62.0174,6325562.7239865
2021-02-02,62.6061,64.306,62.3843,63.7203,5731717.0746199
2021-02-03,63.8455,64.9872,63.4196,64.5909,5658934.0322194
2021-02-04,64.7949,67.5824,64.3295,66.3824,10070261.056874
2021-02-05,67.109,67.4562,65.9752,66.1398,3886925.6250578
2021-02-08,66.343,67.7647,65.8402,67.7273,4682925.4317801
2021-02-09,67.6021,67.8042,66.7492,66.7887,5674482.9477195
2021-02-10,66.7887,67.2057,66.3607,66.6526,4768326.3110953
2021-02-11,66.6812,68.2558,66.3904,67.0608,5965695.2402312
2021-02-12,66.3804,66.8755,65.7879,66.0689,5971027.9776717
2021-02-16,65.9328,66.1567,65.3501,65.5839,6477626.878164
2021-02-17,65.2052,65.2535,64.2231,64.933,8181865.5029419
2021-02-18,65.0878,66.8084,64.6283,66.3607,7919110.0280615
2021-02-19,66.4573,66.7689,65.4773,65.7692,4511724.0728167
2021-02-22,65.3787,68.0704,65.3787,67.5754,10819087.740007
2021-02-23,68.3524,69.0397,67.2156,68.2361,10761466.183343
2021-02-24,67.5163,68.8474,66.9257,67.8771,13778598.80209
2021-02-25,66.1468,67.187,64.3011,65.7593,13802340.538633
2021-02-26,66.3707,66.3707,63.5428,64.1167,10255624.90074
2021-03-01,64.7674,65.9229,64.7674,65.3402,7211527.3732196
2021-03-02,65.4576,65.7495,63.8938,64.3295,9251023.5779882
2021-03-03,63.8347,64.1462,61.7464,61.8528,11001777.101441
2021-03-04,62.1151,62.6199,59.4135,60.7742,11416577.460432
2021-03-05,61.2396,61.416,59.6116,60.9398,9453455.6299918
2021-03-08,61.8725,63.9806,61.4742,63.3298,13973516.542246
2021-03-09,64.1167,65.1361,63.0872,64.2034,9237816.4827143
2021-03-10,64.3592,64.4755,62.6495,63.738,7336133.7105986
2021-03-11,63.9165,64.8109,63.8643,64.2034,5810732.4623174
2021-03-12,64.3888,65.3836,64.2813,64.9429,5640997.6568609
2021-03-15,65.0977,66.1182,64.5051,66.0887,5412556.0857127
2021-03-16,65.8845,65.8845,64.5347,64.8256,5584029.2540399
2021-03-17,64.9232,65.9131,64.7872,65.428,5288637.3854552
2021-03-18,65.2338,65.9032,64.4184,64.6313,4864891.6586009
2021-03-19,63.8938,65.2338,63.3102,64.7181,21659243.748339
2021-03-22,65.0395,65.3787,64.0092,64.6116,5458886.3974319
2021-03-23,64.4085,64.4854,62.4158,62.6978,6206308.3941147
2021-03-24,62.6692,63.6217,62.5035,62.5035,5080927.3635694
2021-03-25,62.1831,63.4314,61.6103,63.2323,5666144.0798542
2021-03-26,63.8544,64.4558,63.2755,64.1649,6198118.6157139
2021-03-29,64.1068,64.7969,63.2125,63.669,5475145.2627626
2021-03-30,63.4166,64.8354,63.1938,64.6313,6843984.3175834
2021-03-31,64.8354,65.5936,64.2231,64.2724,5931362.0664321
2021-04-01,65.0395,65.2535,63.7084,64.1068,5179014.0321401
2021-04-05,64.3888,66.0018,64.3888,65.8362,5696434.5964761
2021-04-06,65.8066,66.3904,65.5444,65.7198,4457875.3923934
2021-04-07,65.6606,66.3804,65.6321,65.8559,4941129.1140334
2021-04-08,66.0887,67.1673,65.7879,67.0706,5479917.1398369
2021-04-09,67.1771,67.5262,66.3509,67.4779,5274350.1522249
2021-04-12,67.3813,67.7017,66.5845,67.5459,4910727.0338667
2021-04-13,66.8853,67.3132,65.9821,66.5166,5183094.2152369
2021-04-14,66.6713,67.3033,66.4969,66.6625,3665817.8356579
2021-04-15,67.2639,67.9453,67.1476,67.2738,3910665.3331729
2021-04-16,67.7589,68.0902,67.3428,68.0024,5869589.3316872
2021-04-19,67.954,67.954,67.0017,67.0411,3660166.6350078
2021-04-20,66.5747,66.7492,65.1361,65.8263,4302233.0910704
2021-04-21,65.9032,66.9504,65.6409,66.5363,4779805.1856391
2021-04-22,66.7887,67.8328,66.4869,67.2057,4445458.3698594
2021-04-23,67.3428,68.6788,66.9721,68.3919,5457404.6307144
