Date,Open,High,Low,Close,Volume
2020-12-01,197.347,199.803,193.899,194.164,4671423.9589586
2020-12-02,193.673,196.208,193.24,195.284,2789803.3328861
2020-12-03,196.198,196.916,193.584,194.027,4328136.3919016
2020-12-04,193.87,198.015,193.87,197.651,3106266.7878305
2020-12-07,197.25,197.564,195.539,196.649,2159704.8884711
2020-12-08,195.372,198.095,194.95,196.866,2130240.6038364
2020-12-09,195.539,198.576,195.539,197.504,2019844.9551818
2020-12-10,196.63,197.377,193.202,194.281,2299578.053157
2020-12-11,192.523,195.461,191.855,194.802,2001091.9949968
2020-12-14,196.925,197.111,189.851,189.939,2254772.4730614
2020-12-15,190.726,193.231,189.428,192.149,2042599.9039391
2020-12-16,192.671,192.828,190.529,190.764,2183806.3862828
2020-12-17,191.885,194.567,190.921,193.967,2820633.5047701
2020-12-18,193.86,196.168,192.563,195.324,6169837.8944237
2020-12-21,191.491,195.509,191.491,194.253,2121446.8140943
2020-12-22,193.603,195.245,193.25,193.329,1505528.3556384
2020-12-23,194.577,195.245,192.877,192.995,1863431.5269427
2020-12-24,193.083,195.559,192.326,195.127,721050.04686217
2020-12-28,195.658,198.133,195.274,197.297,1866131.7496494
2020-12-29,197.898,198.409,195.117,196.099,1808773.6453767
2020-12-30,196.542,198.095,196.286,197.594,1333919.1773011
2020-12-31,197.946,200.157,197.307,199.735,1813687.5825151
2021-01-04,199.577,200.531,193.192,194.754,2754693.313101
2021-01-05,194.645,198.035,194.596,197.15,2217725.5803737
2021-01-06,197.2,203.006,196.787,201.278,2618942.2373567
2021-01-07,202.034,204.667,200.61,204.058,2108947.2155038
2021-01-08,209.138,212.272,208.155,209.914,4089265.9178343
2021-01-11,211.231,211.986,208.116,208.508,3095693.8841452
2021-01-12,208.224,211.476,205.168,209.747,3362756.3931739
2021-01-13,208.725,210.081,206.603,207.792,1528204.9338159
2021-01-14,209.089,209.256,206.937,207.378,1792939.7348422
2021-01-15,205.777,208.675,204.579,207.782,2423893.1310377
2021-01-19,209.343,209.914,206.377,206.524,2962422.1685643
2021-01-20,208.253,209.58,206.937,209.313,3376972.0021239
2021-01-21,201.464,208.066,199.43,199.44,6615481.5099996
2021-01-22,199.175,200.501,194.979,198.703,4472515.3560306
2021-01-25,196.816,198.723,192.945,198.055,5019629.5343528
2021-01-26,198.88,198.88,191.294,191.905,4031722.5740092
2021-01-27,188.043,190.716,185.291,186.431,3951761.1731402
2021-01-28,189.359,196.64,187.483,193.112,3550938.4046561
2021-01-29,191.187,192.631,188.77,189.438,3656866.9302577
2021-02-01,190.735,192.553,190.205,190.529,2323226.630085
2021-02-02,192.386,198.703,191.895,197.554,3871683.743101
2021-02-03,196.797,197.544,195.569,196.04,1804991.5015478
2021-02-04,196.453,198.242,195.117,196.129,2660357.5265228
2021-02-05,198.143,199.243,195.569,195.883,2185910.1783426
2021-02-08,196.954,196.954,193.889,195.805,2079990.8129386
2021-02-09,196.119,197.25,194.291,196.325,1591526.3267574
2021-02-10,197.554,197.789,194.458,195.235,1841685.2177263
2021-02-11,196.767,199.42,196.031,198.801,2770847.8305532
2021-02-12,197.808,205.011,197.808,204.49,3459127.7792295
2021-02-16,204.687,206.661,201.886,205.295,3060833.2252961
2021-02-17,204.569,205.188,201.287,202.633,3370236.2034534
2021-02-18,200.707,201.258,195.844,198.634,3775012.1061226
2021-02-19,199.577,202.957,199.44,200.56,3253180.0733089
2021-02-22,198.713,201.798,198.27,198.419,2893621.9596295
2021-02-23,198.919,199.607,196.355,198.546,2791375.8334824
2021-02-24,197.946,204.284,197.121,202.565,2455078.5150306
2021-02-25,202.171,203.253,200.364,201.111,4306506.1118554
2021-02-26,202.594,202.594,198.389,198.497,3847474.3585171
2021-03-01,201.022,203.921,200.236,201.592,4273172.1526142
2021-03-02,201.946,203.006,199.803,201.709,2402597.7071056
2021-03-03,201.729,202.22,198.526,198.753,2394460.398195
2021-03-04,198.516,199.215,191.394,193.78,3329469.2527208
2021-03-05,195.628,202.535,193.379,202.103,3307158.0646494
2021-03-08,202.938,207.86,202.555,203.253,3183937.1214878
