Date,ret_close,ret_sign,ret_close_20d,ret_sign_20d,ret_vol_20d
2021-03-24,-0.01888309430682311,-1,-0.05268347950148966,-1,0.0005716936270469887
2021-06-18,0.02580890887986076,1,0.15034474342546833,1,0.0002619840609728514
2021-09-22,-0.030670857266717144,-1,-0.04741038281297538,-1,0.0001593488211346479
2021-12-17,-0.016693458637319192,-1,-0.17038273518540603,-1,0.0015621138760197454
2022-03-23,-0.0933647765033766,-1,-0.015252066596809888,-1,0.0014252950117632534
2022-06-17,-0.011750849128957963,-1,-0.08517166184897806,-1,0.0009687321972138192
2022-09-16,-0.031151942548442335,-1,-0.31781427237318627,-1,0.0018667457478441394
2022-12-16,0.029904779288734806,1,0.002101648758251251,1,0.0005038609811307389
2023-03-16,0.05899103743892575,1,-0.06024897590040956,-1,0.0008276619489632638
2023-06-16,0.008698132040496187,1,0.3738590017479122,1,0.0006854059856420335
2023-09-15,-0.042143581570559197,-1,0.03365450387945357,1,0.00042019911481833513
2023-12-14,-0.06346714509979812,-1,-0.01792343484907022,-1,0.00035215161558984476
2024-03-15,-0.13671662722412137,-1,-0.16594404173159016,-1,0.0015044339908239534
2024-06-14,0.1451148798883899,1,0.087868621603711,1,0.001409044824453697
2024-09-13,-0.08469866166567208,-1,-0.031200375342861242,-1,0.00048221273562636834
2024-12-12,-0.1369265179204625,-1,-0.10867605633802813,-1,0.0012837751529165648
